n,repeat,algo,time_ms,gap
100,0,DFS,0.13810000382363796,1.0
100,0,BFS,0.08139997953549027,1.0
100,1,DFS,0.14130002819001675,1.0
100,1,BFS,0.17800001660361886,1.0
100,2,DFS,0.1629000180400908,1.0
100,2,BFS,0.06289998418651521,1.0
100,3,DFS,0.13650002074427903,1.0
100,3,BFS,0.08289999095723033,1.0
100,4,DFS,0.10969999129883945,1.0
100,4,BFS,0.060399994254112244,1.0
400,0,DFS,0.7382000039797276,1.0
400,0,BFS,0.5460999964270741,1.0
400,1,DFS,0.7445999945048243,1.0
400,1,BFS,0.5035999929532409,1.0
400,2,DFS,0.43590000132098794,1.0
400,2,BFS,0.2770000137388706,1.0
400,3,DFS,0.5377000197768211,1.0
400,3,BFS,0.2825999981723726,1.0
400,4,DFS,0.6530999962706119,1.0
400,4,BFS,0.31289999606087804,1.0
700,0,DFS,1.638400019146502,1.0
700,0,BFS,0.6224999960977584,1.0
700,1,DFS,1.257600000826642,1.0
700,1,BFS,0.5187000206205994,1.0
700,2,DFS,0.8848000143188983,1.0
700,2,BFS,0.520500005222857,1.0
700,3,DFS,1.0722000151872635,1.0
700,3,BFS,0.544899987289682,1.0
700,4,DFS,1.128400006564334,1.0
700,4,BFS,0.5392000020947307,1.0
1000,0,DFS,1.5423000149894506,1.0
1000,0,BFS,0.989099993603304,1.0
1000,1,DFS,1.0139000078197569,1.0
1000,1,BFS,0.907599984202534,1.0
1000,2,DFS,1.0184000129811466,1.0
1000,2,BFS,1.0501999931875616,1.0
1000,3,DFS,1.3009000103920698,1.0
1000,3,BFS,0.8579999848734587,1.0
1000,4,DFS,1.4441000239457935,1.0
1000,4,BFS,1.060499984305352,1.0
