n,repeat,algo,time_ms
100,0,DFS,0.06229997961781919
100,0,BFS,0.06540000322274864
100,1,DFS,0.05740000051446259
100,1,BFS,0.0557999883312732
100,2,DFS,0.05729999975301325
100,2,BFS,0.05509998300112784
100,3,DFS,0.05530001362785697
100,3,BFS,0.05470000905916095
100,4,DFS,0.05490001058205962
100,4,BFS,0.05460000829771161
100,5,DFS,0.05530001362785697
100,5,BFS,0.052499992307275534
100,6,DFS,0.050300004659220576
100,6,BFS,0.051700015319511294
100,7,DFS,0.04990000161342323
100,7,BFS,0.05110001075081527
100,8,DFS,0.04919999628327787
100,8,BFS,0.05060000694356859
100,9,DFS,0.04949999856762588
100,9,BFS,0.050799979362636805
400,0,DFS,0.388299988117069
400,0,BFS,0.30780001543462276
400,1,DFS,0.3871000080835074
400,1,BFS,0.3558000025805086
400,2,DFS,0.34669999149627984
400,2,BFS,0.33500001882202923
400,3,DFS,0.3615999885369092
400,3,BFS,0.8869000012055039
400,4,DFS,0.3718000079970807
400,4,BFS,0.3400999994482845
400,5,DFS,0.36440000985749066
400,5,BFS,0.3431999939493835
400,6,DFS,0.34339999547228217
400,6,BFS,0.30640000477433205
400,7,DFS,0.36150001687929034
400,7,BFS,0.3023000026587397
400,8,DFS,0.37140000495128334
400,8,BFS,0.3573999856598675
400,9,DFS,0.3575999871827662
400,9,BFS,0.2978999982587993
700,0,DFS,0.8563000010326505
700,0,BFS,0.6455999973695725
700,1,DFS,1.1457000218797475
700,1,BFS,0.6871999939903617
700,2,DFS,1.1715999862644821
700,2,BFS,0.6516999856103212
700,3,DFS,0.8040000102482736
700,3,BFS,0.6587000098079443
700,4,DFS,0.7005000079516321
700,4,BFS,0.6368000176735222
700,5,DFS,0.6896000122651458
700,5,BFS,0.6303999980445951
700,6,DFS,1.3442999916151166
700,6,BFS,0.6304999988060445
700,7,DFS,0.741700001526624
700,7,BFS,0.6154000002425164
700,8,DFS,0.6911999953445047
700,8,BFS,0.6179000192787498
700,9,DFS,0.830000004498288
700,9,BFS,0.6485000194516033
1000,0,DFS,1.0645000147633255
1000,0,BFS,0.9356000227853656
1000,1,DFS,1.05489999987185
1000,1,BFS,0.9703999967314303
1000,2,DFS,1.0750000074040145
1000,2,BFS,0.9380000119563192
1000,3,DFS,1.0667999740689993
1000,3,BFS,1.5765999851282686
1000,4,DFS,1.1821000080090016
1000,4,BFS,0.9777000232134014
1000,5,DFS,1.1867000139318407
1000,5,BFS,0.9950000094249845
1000,6,DFS,1.2729000009130687
1000,6,BFS,1.605699973879382
1000,7,DFS,1.1983000149484724
1000,7,BFS,0.9929999941959977
1000,8,DFS,1.5379000105895102
1000,8,BFS,1.3898999895900488
1000,9,DFS,1.2234000023454428
1000,9,BFS,1.067200006218627
